timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
1580169600000,5,5,5,5,4,5,218,257,65,159,172,349,146
1580256000000,5,5,5,5,4,5,218,256,67,159,170,351,146
1580342400000,5,5,5,4,4,5,217,252,69,161,165,350,146
1580428800000,5,4,4,4,4,5,213,249,70,160,169,347,146
1580515200000,5,4,5,4,3,5,210,241,72,161,176,340,146
1580601600000,5,5,5,5,4,5,208,235,73,162,184,332,146
1580688000000,5,5,5,4,3,5,205,235,73,163,190,327,145
1580774400000,5,5,5,4,3,5,203,238,72,163,199,323,146
1580860800000,5,5,5,5,4,4,201,241,70,164,204,326,146
1580947200000,5,5,5,5,4,5,202,240,69,163,208,336,146
1581033600000,5,5,5,5,4,5,203,234,67,156,204,339,144
1581120000000,5,5,5,5,4,5,203,234,66,151,195,351,145
1581206400000,5,5,5,5,4,5,202,235,66,148,187,358,144
1581292800000,5,5,5,5,4,5,208,243,68,149,189,364,143
1581379200000,5,5,5,4,3,5,208,252,70,150,198,369,144
1581465600000,5,5,5,5,4,5,210,257,71,153,197,369,145
1581552000000,5,4,5,4,4,5,211,259,72,153,195,371,146
1581638400000,5,4,5,5,4,5,210,260,76,152,192,375,145
1581724800000,5,4,5,4,4,4,211,261,75,150,194,384,146
1581811200000,5,5,5,5,4,5,212,262,74,150,192,385,145
1581897600000,5,5,5,5,4,5,214,264,71,150,194,384,145
1581984000000,5,5,5,5,4,5,216,269,70,152,194,385,146
1582070400000,5,5,5,4,3,5,217,270,72,153,191,384,147
1582156800000,5,5,5,5,3,5,216,270,72,153,190,382,147
1582243200000,5,5,5,4,4,4,217,271,72,154,192,377,146
1582329600000,5,5,5,5,4,4,218,271,74,154,198,371,146
1582416000000,5,5,5,5,4,4,219,270,73,155,197,368,145
1582502400000,5,5,5,5,4,4,224,272,71,156,193,368,146
1582588800000,5,5,5,5,4,4,222,273,71,157,187,376,147
1582675200000,5,5,5,4,4,4,222,274,71,158,178,384,146
1582761600000,5,5,5,5,4,4,224,277,72,158,173,387,146
1582848000000,5,4,5,4,4,5,223,280,72,159,174,384,146
1582934400000,5,5,5,4,4,5,224,274,73,159,179,385,146
1583020800000,5,5,5,5,3,5,224,271,73,160,187,385,146
1583107200000,5,5,5,4,3,4,228,271,73,160,191,389,146
1583193600000,5,4,5,4,3,4,226,270,74,155,191,389,146
1583280000000,5,5,5,5,4,4,224,268,75,155,184,390,147
1583366400000,5,5,5,5,4,5,223,264,75,157,174,388,146
1583452800000,5,5,5,5,4,5,222,260,76,158,165,389,146
1583539200000,5,5,5,5,4,5,219,256,75,159,156,390,147
1583625600000,5,5,5,5,4,5,214,251,75,159,148,391,146
1583712000000,5,5,5,5,4,5,212,251,75,160,141,395,146
1583798400000,5,5,5,5,4,4,211,251,74,162,139,396,146
1583884800000,5,5,5,5,4,5,214,250,75,161,143,403,146
1583971200000,5,4,5,5,4,5,217,249,74,160,146,401,146
1584057600000,5,5,5,5,4,5,219,248,74,158,153,396,146
1584144000000,5,5,5,5,4,5,223,246,75,157,160,394,146
1584230400000,5,5,5,4,4,5,226,246,75,157,168,394,146
1584316800000,5,5,5,5,3,5,229,249,74,157,176,396,146
1584403200000,5,5,5,4,3,4,231,252,75,157,180,405,146
1584489600000,5,5,5,5,4,5,234,256,76,157,181,408,146
1584576000000,5,5,5,5,3,4,236,265,76,158,190,410,146
1584662400000,5,5,5,5,4,5,236,269,76,160,194,409,146
1584748800000,5,5,5,5,4,5,237,269,77,162,194,405,147
1584835200000,5,5,5,5,4,5,236,268,76,162,188,399,145
1584921600000,5,5,5,5,3,5,238,271,77,162,187,398,147
1585008000000,5,5,5,4,3,5,239,273,77,163,188,397,147
1585094400000,5,5,5,5,3,5,238,278,77,164,188,400,147
1585180800000,5,4,5,5,3,4,240,283,77,165,190,400,145
1585267200000,5,5,5,5,4,5,242,289,79,169,187,403,146
1585353600000,5,5,5,5,3,5,240,290,78,176,186,404,146
1585440000000,5,4,5,5,3,5,241,286,78,182,181,401,146
1585526400000,5,5,5,5,4,4,239,281,77,186,171,399,145
1585612800000,5,5,5,5,3,4,238,280,77,189,163,398,145
1585699200000,5,5,5,4,3,4,238,282,79,190,160,399,144
1585785600000,5,5,5,5,4,5,238,284,81,189,159,398,145
1585872000000,6,5,6,5,4,5,241,285,83,192,160,398,146
1585958400000,6,5,6,5,3,5,243,286,85,195,164,394,143
1586044800000,6,5,6,5,3,5,243,286,87,204,169,391,145
1586131200000,6,5,6,5,4,4,249,288,88,213,177,386,143
1586217600000,6,5,6,5,4,5,252,293,91,216,180,379,145
1586304000000,6,5,6,5,4,4,253,297,92,223,182,368,146
1586390400000,6,5,6,5,4,4,249,298,91,221,183,365,146
1586476800000,6,5,6,5,4,5,246,299,87,220,179,368,146
1586563200000,6,5,6,5,4,5,243,297,83,221,179,369,146
1586649600000,6,5,6,5,4,5,240,296,82,222,186,377,146
1586736000000,6,5,6,5,4,4,239,295,82,225,195,384,147
1586822400000,6,5,6,5,4,4,238,293,84,221,188,386,146
1586908800000,6,5,6,5,4,4,237,288,84,222,180,387,147
1586995200000,6,5,6,5,4,4,236,280,86,219,171,386,146
1587081600000,6,5,6,5,4,5,234,275,86,209,162,385,146
1587168000000,6,6,6,5,4,5,233,268,86,204,158,384,146
1587254400000,6,6,6,5,4,5,233,264,88,194,163,384,146
1587340800000,6,5,6,5,4,5,234,267,89,190,172,383,146
1587427200000,6,5,5,5,4,5,233,272,89,189,180,383,146
1587513600000,6,5,5,5,4,5,232,273,89,190,184,382,147
1587600000000,6,5,5,5,4,5,229,273,89,193,176,380,147
1587686400000,6,5,5,5,4,5,225,271,89,198,169,377,146
1587772800000,6,5,5,5,4,5,223,269,89,198,170,372,146
1587859200000,6,5,5,5,4,4,223,266,88,197,172,369,146
1587945600000,6,5,5,5,4,4,223,266,88,196,171,369,147
1588032000000,6,5,5,5,4,5,222,267,89,197,167,372,147
1588118400000,6,5,5,4,4,5,221,266,91,197,161,375,147
1588204800000,6,5,5,5,4,5,217,260,91,201,153,378,147
1588291200000,6,5,5,5,4,5,216,259,91,204,150,378,147
1588377600000,6,5,5,5,4,5,214,256,91,203,152,377,146
1588464000000,6,5,5,5,4,5,216,255,91,203,159,376,146
1588550400000,6,5,5,5,4,4,221,255,91,203,165,376,146
1588636800000,6,5,5,5,4,4,222,256,91,204,161,375,147
